Year,Actress,Film,Character
"2017
(71st)",Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Mildred Hayes
"2017
(71st)",Annette Bening,Film Stars Don't Die in Liverpool,Gloria Grahame
"2017
(71st)",Sally Hawkins,The Shape of Water,Elisa Esposito
"2017
(71st)",Margot Robbie,"I, Tonya",Tonya Harding
"2017
(71st)",Saoirse Ronan,Lady Bird,"Christine ""Lady Bird"" McPherson"
"2018
(72nd)",Olivia Colman,The Favourite,Queen Anne
"2018
(72nd)",Glenn Close,The Wife,Joan Castleman
"2018
(72nd)",Viola Davis,Widows,Veronica Rawlings
"2018
(72nd)",Lady Gaga,A Star Is Born,Ally Maine
"2018
(72nd)",Melissa McCarthy,Can You Ever Forgive Me?,Lee Israel
"2019
(73rd)",Renée Zellweger,Judy,Judy Garland
"2019
(73rd)",Jessie Buckley,Wild Rose,Rose-Lynn Harlan
"2019
(73rd)",Scarlett Johansson,Marriage Story,Nicole Barber
"2019
(73rd)",Saoirse Ronan,Little Women,"Josephine ""Jo"" March"
"2019
(73rd)",Charlize Theron,Bombshell,Megyn Kelly
"2020
(74th)",Frances McDormand,Nomadland,Fern
"2020
(74th)",Bukky Bakray,Rocks,"Olushola ""Rocks"" Omotoso"
"2020
(74th)",Radha Blank,The Forty-Year-Old Version,Radha Blank
"2020
(74th)",Vanessa Kirby,Pieces of a Woman,Martha Weiss
"2020
(74th)",Wunmi Mosaku,His House,Rial Majur
"2020
(74th)",Alfre Woodard,Clemency,Bernardine Williams
"2021
(75th)",Joanna Scanlan,After Love,Mary Hussain
"2021
(75th)",Lady Gaga,House of Gucci,Patrizia Reggiani
"2021
(75th)",Alana Haim,Licorice Pizza,Alana Kane
"2021
(75th)",Emilia Jones,CODA,Ruby Rossi
"2021
(75th)",Renate Reinsve,The Worst Person in the World,Julie
"2021
(75th)",Tessa Thompson,Passing,Irene Redfield
"2022
(76th)",Cate Blanchett,Tár,Lydia Tár
"2022
(76th)",Viola Davis,The Woman King,General Nanisca
"2022
(76th)",Ana de Armas,Blonde,Marilyn Monroe
"2022
(76th)",Danielle Deadwyler,Till,Mamie Till
"2022
(76th)",Emma Thompson,"Good Luck to You, Leo Grande",Nancy Stokes / Susan Robinson
"2022
(76th)",Michelle Yeoh,Everything Everywhere All at Once,Evelyn Quan Wang
"2023
(77th)",Emma Stone,Poor Things,Bella Baxter
"2023
(77th)",Fantasia Barrino,The Color Purple,Celie Harris-Johnson
"2023
(77th)",Sandra Hüller,Anatomy of a Fall,Sandra Voyter
"2023
(77th)",Carey Mulligan,Maestro,Felicia Montealegre
"2023
(77th)",Vivian Oparah,Rye Lane,Yas
"2023
(77th)",Margot Robbie,Barbie,Barbie
"2024
(78th)",Mikey Madison,Anora,"Anora ""Ani"" Mikheeva"
"2024
(78th)",Cynthia Erivo,Wicked,Elphaba Thropp
"2024
(78th)",Karla Sofía Gascón,Emilia Pérez,"Juan ""Manitas"" Del Monte / Emilia Pérez"
"2024
(78th)",Marianne Jean-Baptiste,Hard Truths,Pansy Deacon
"2024
(78th)",Demi Moore,The Substance,Elisabeth Sparkle
"2024
(78th)",Saoirse Ronan,The Outrun,Rona
