Year,Actress,Role(s),Film,Ref.
2008,Meryl Streep,Sister Aloysius Beauvier,Doubt,
2009,Sandra Bullock,Leigh Anne Tuohy,The Blind Side,
2009,Emily Blunt,Queen Victoria,The Young Victoria,
2009,Helen Mirren,Sofya Tolstoy,The Last Station,
2009,Carey Mulligan,Jenny Mellor,An Education,
2009,Gabourey Sidibe,"Claireece ""Precious"" Jones",Precious,
2010,Natalie Portman,Nina Sayers,Black Swan,
2010,Halle Berry,Frankie / Genius / Alice,Frankie & Alice,
2010,Nicole Kidman,Becca Corbett,Rabbit Hole,
2010,Jennifer Lawrence,Ree Dolly,Winter's Bone,
2010,Michelle Williams,Cindy Hiller,Blue Valentine,
2011,Meryl Streep,Margaret Thatcher,The Iron Lady,
2011,Glenn Close,Albert Nobbs,Albert Nobbs,
2011,Viola Davis,Aibileen Clark,The Help,
2011,Rooney Mara,Lisbeth Salander,The Girl with the Dragon Tattoo,
2011,Tilda Swinton,Eva Khatchadourian,We Need to Talk About Kevin,
2012,Jessica Chastain,Maya Harris,Zero Dark Thirty,
2012,Marion Cotillard,Stéphanie,Rust and Bone,
2012,Helen Mirren,Alma Reville,Hitchcock,
2012,Naomi Watts,Maria Bennett,The Impossible,
2012,Rachel Weisz,Hester Collyer,The Deep Blue Sea,
2013,Cate Blanchett,"Jeanette ""Jasmine"" Francis",Blue Jasmine,
2013,Sandra Bullock,Dr. Ryan Stone,Gravity,
2013,Judi Dench,Philomena Lee,Philomena,
2013,Emma Thompson,P. L. Travers,Saving Mr. Banks,
2013,Kate Winslet,Adele Wheeler,Labor Day,
2014,Julianne Moore,Dr. Alice Howland,Still Alice,
2014,Jennifer Aniston,Claire Bennett,Cake,
2014,Felicity Jones,Jane Hawking,The Theory of Everything,
2014,Rosamund Pike,Amy Elliott-Dunne,Gone Girl,
2014,Reese Witherspoon,Cheryl Strayed,Wild,
2015,Brie Larson,"Joy ""Ma"" Newsome",Room,
2015,Cate Blanchett,Carol Aird,Carol,
2015,Rooney Mara,Therese Belivet,Carol,
2015,Saoirse Ronan,Eilis Lacey,Brooklyn,
2015,Alicia Vikander,Gerda Wegener,The Danish Girl,
2016,Isabelle Huppert,Michèle Leblanc,Elle,
2016,Amy Adams,Dr. Louise Banks,Arrival,
2016,Jessica Chastain,Elizabeth Sloane,Miss Sloane,
2016,Ruth Negga,Mildred Loving,Loving,
2016,Natalie Portman,Jackie Kennedy,Jackie,
2017,Frances McDormand,Mildred Hayes,"Three Billboards Outside Ebbing, Missouri",
2017,Jessica Chastain,Molly Bloom,Molly's Game,
2017,Sally Hawkins,Elisa Esposito,The Shape of Water,
2017,Meryl Streep,Katharine Graham,The Post,
2017,Michelle Williams,Gail Harris,All the Money in the World,
2018,Glenn Close,Joan Castleman,The Wife,
2018,Lady Gaga,Ally Maine,A Star Is Born,
2018,Nicole Kidman,Erin Bell,Destroyer,
2018,Melissa McCarthy,Lee Israel,Can You Ever Forgive Me?,
2018,Rosamund Pike,Marie Colvin,A Private War,
2019,Renée Zellweger,Judy Garland,Judy,
2019,Cynthia Erivo,Harriet Tubman,Harriet,
2019,Scarlett Johansson,Nicole Barber,Marriage Story,
2019,Saoirse Ronan,"Josephine ""Jo"" March",Little Women,
2019,Charlize Theron,Megyn Kelly,Bombshell,
2020,Andra Day,Billie Holiday,The United States vs. Billie Holiday,
2020,Viola Davis,Ma Rainey,Ma Rainey's Black Bottom,
2020,Vanessa Kirby,Martha Weiss,Pieces of a Woman,
2020,Frances McDormand,Fern,Nomadland,
2020,Carey Mulligan,"Cassandra ""Cassie"" Thomas",Promising Young Woman,
2021,Nicole Kidman,Lucille Ball,Being the Ricardos,
2021,Jessica Chastain,Tammy Faye Bakker,The Eyes of Tammy Faye,
2021,Olivia Colman,Leda Caruso,The Lost Daughter,
2021,Lady Gaga,Patrizia Reggiani,House of Gucci,
2021,Kristen Stewart,Princess Diana,Spencer,
2022,Cate Blanchett,Lydia Tár,Tár,
2022,Olivia Colman,Hilary Small,Empire of Light,
2022,Viola Davis,General Nanisca,The Woman King,
2022,Ana de Armas,Norma Jeane Mortenson / Marilyn Monroe,Blonde,
2022,Michelle Williams,Mitzi Fabelman,The Fabelmans,
2023,Lily Gladstone,Mollie Burkhart,Killers of the Flower Moon,
2023,Annette Bening,Diana Nyad,Nyad,
2023,Sandra Hüller,Sandra Voyter,Anatomy of a Fall,
2023,Greta Lee,Nora Moon,Past Lives,
2023,Carey Mulligan,Felicia Montealegre Bernstein,Maestro,
2023,Cailee Spaeny,Priscilla Presley,Priscilla,
2024,Fernanda Torres,Eunice Paiva,I'm Still Here,
2024,Pamela Anderson,Shelly Gardner,The Last Showgirl,
2024,Angelina Jolie,Maria Callas,Maria,
2024,Nicole Kidman,Romy Mathis,Babygirl,
2024,Tilda Swinton,Martha Hunt,The Room Next Door,
2024,Kate Winslet,Lee Miller,Lee,
